DDB_G0267584	adcE
DDB_G0267586	DDB_G0267586
DDB_G0267588	pikI
DDB_G0267590	DDB_G0267590
DDB_G0267592	DDB_G0267592
DDB_G0267594	pfdn2
DDB_G0267596	DDB_G0267596
DDB_G0267598	DDB_G0267598
DDB_G0267600	DDB_G0267600
DDB_G0267602	DDB_G0267602
DDB_G0267604	mserS
DDB_G0267606	fcf1
DDB_G0267608	DDB_G0267608
DDB_G0267610	DDB_G0267610
DDB_G0267612	DDB_G0267612
DDB_G0267614	DDB_G0267614
DDB_G0267616	DDB_G0267616
DDB_G0267618	DDB_G0267618_ps
DDB_G0267620	DDB_G0267620
DDB_G0267622	srp9
DDB_G0267624	DDB_G0267624
DDB_G0267628	rad54_ps
DDB_G0267630	kil1
DDB_G0267632	DDB_G0267632
DDB_G0267634	DDB_G0267634
DDB_G0267636	mybM
DDB_G0267638	DDB_G0267638
DDB_G0267640	gtaE
DDB_G0267642	DDB_G0267642
DDB_G0267644	DDB_G0267644
DDB_G0267646	sec20
DDB_G0267648	DDB_G0267648
DDB_G0267650	ireA
DDB_G0267654	tgrO2
DDB_G0267656	l2hgdh
DDB_G0267658	DDB_G0267658
DDB_G0267660	DDB_G0267660
DDB_G0267662	DDB_G0267662
DDB_G0267666	gefW
DDB_G0267668	hspL
DDB_G0267670	DDB_G0267670
DDB_G0267672	DDB_G0267672
DDB_G0267674	glcS
DDB_G0267676	DDB_G0267676
DDB_G0267678	tgrO_ps2
DDB_G0267680	DDB_G0267680
DDB_G0267682	ercc1
DDB_G0267684	DDB_G0267684
DDB_G0267686	DDB_G0267686
DDB_G0267688	cpnD
DDB_G0267690	icpA
DDB_G0267692	DDB_G0267692
DDB_G0267694	DDB_G0267694
DDB_G0267696	DDB_G0267696
DDB_G0267698	DDB_G0267698
DDB_G0267700	DDB_G0267700
DDB_G0267702	DDB_G0267702
DDB_G0267704	mcfT
DDB_G0267706	DDB_G0267706
DDB_G0267708	vps25
DDB_G0267710	DDB_G0267710
DDB_G0267712	DDB_G0267712
DDB_G0267714	sf3b4
DDB_G0267716	DDB_G0267716
DDB_G0267718	DDB_G0267718
DDB_G0267720	DDB_G0267720
DDB_G0267722	DDB_G0267722
DDB_G0267724	DDB_G0267724
DDB_G0267726	uduA2
DDB_G0267728	uduA3
DDB_G0267730	dst2
DDB_G0267732	DDB_G0267732
DDB_G0267734	DDB_G0267734
DDB_G0267736	DDB_G0267736_RTE
DDB_G0267740	DDB_G0267740
DDB_G0267742	DDB_G0267742
DDB_G0267744	DDB_G0267744
DDB_G0267746	DDB_G0267746
DDB_G0267748	cdc45
DDB_G0267750	DDB_G0267750
DDB_G0267752	DDB_G0267752
DDB_G0267754	DDB_G0267754
DDB_G0267756	DDB_G0267756
DDB_G0267758	DDB_G0267758
DDB_G0267760	tbck
DDB_G0267762	DDB_G0267762
DDB_G0267764	DDB_G0267764
DDB_G0267766	gfm2
DDB_G0267768	DDB_G0267768
DDB_G0267770	DDB_G0267770
DDB_G0267772	DDB_G0267772
DDB_G0267774	abkC
DDB_G0267776	DDB_G0267776
DDB_G0267778	DDB_G0267778_RTE
DDB_G0267780	DDB_G0267780_RTE
DDB_G0267784	DDB_G0267784
DDB_G0267786	DDB_G0267786
DDB_G0267788	DDB_G0267788
DDB_G0267790	DDB_G0267790
DDB_G0267792	DDB_G0267792
DDB_G0267794	DDB_G0267794
DDB_G0267796	DDB_G0267796
DDB_G0267798	DDB_G0267798
DDB_G0267800	DDB_G0267800
DDB_G0267802	DDB_G0267802
DDB_G0267804	DDB_G0267804
DDB_G0267806	ampA_ps
DDB_G0267808	DDB_G0267808
DDB_G0267810	DDB_G0267810
DDB_G0267812	DDB_G0267812
DDB_G0267814	DDB_G0267814
DDB_G0267816	DDB_G0267816
DDB_G0267818	DDB_G0267818
DDB_G0267820	DDB_G0267820
DDB_G0267822	DDB_G0267822
DDB_G0267824	DDB_G0267824
DDB_G0267826	DDB_G0267826
DDB_G0267828	DDB_G0267828
DDB_G0267830	gemA
DDB_G0267832	DDB_G0267832
DDB_G0267834	DDB_G0267834
DDB_G0267836	DDB_G0267836
DDB_G0267838	DDB_G0267838
DDB_G0267840	DDB_G0267840
DDB_G0267842	DDB_G0267842
DDB_G0267844	expl6
DDB_G0267846	expl1
DDB_G0267848	DDB_G0267848
DDB_G0267850	DDB_G0267850
DDB_G0267852	DDB_G0267852
DDB_G0267854	gxcD
DDB_G0267856	DDB_G0267856
DDB_G0267858	DDB_G0267858
DDB_G0267860	DDB_G0267860
DDB_G0267862	DDB_G0267862
DDB_G0267864	DDB_G0267864
DDB_G0267866	DDB_G0267866
DDB_G0267868	DDB_G0267868
DDB_G0267870	rnf113
DDB_G0267872	DDB_G0267872
DDB_G0267874	DDB_G0267874
DDB_G0267876	DDB_G0267876
DDB_G0267878	DDB_G0267878
DDB_G0267880	DDB_G0267880
DDB_G0267882	DDB_G0267882
DDB_G0267884	alg12
DDB_G0267886	DDB_G0267886
DDB_G0267888	DDB_G0267888
DDB_G0267890	DDB_G0267890
DDB_G0267892	DDB_G0267892
DDB_G0267894	DDB_G0267894
DDB_G0267896	DDB_G0267896
DDB_G0267898	DDB_G0267898
DDB_G0267902	DDB_G0267902
DDB_G0267904	DDB_G0267904
DDB_G0267906	DDB_G0267906
DDB_G0267908	DDB_G0267908
DDB_G0267910	DDB_G0267910
DDB_G0267914	DDB_G0267914
DDB_G0267916	mtmr15
DDB_G0267918	DDB_G0267918
DDB_G0267920	DDB_G0267920
DDB_G0267922	DDB_G0267922_ps
DDB_G0267924	DDB_G0267924
DDB_G0267928	tmem144B
DDB_G0267930	DDB_G0267930
DDB_G0267932	DDB_G0267932
DDB_G0267934	fnkB
DDB_G0267936	DDB_G0267936
DDB_G0267938	DDB_G0267938
