	orig.ident	nCount_RNA	nFeature_RNA	cell_cycle	RNA_snn_res.0.4	seurat_clusters	nCount_unspliced	nFeature_unspliced	nCount_spliced	nFeature_spliced	initial_size_unspliced	initial_size_spliced	initial_size	n_counts	velocity_self_transition	velocity_length	velocity_confidence	velocity_confidence_transition	Endpoints	root_cells	end_points	velocity_pseudotime	latent_time
HEK293T_A44	0	167941.0	9555	2	0	0	148833.0	8919	167941.0	9555	148833.0	167941.0	167941.0	212405.16688598972	0.39082652	55.75	0.6322015156734425	0.4094532171034479	0	8.657505444178628e-06	0.005789837532969892	0.6909199953079224	0.8835563219666019
HEK293T_A45	0	175544.0	9443	1	1	1	76048.0	7943	175544.0	9443	76048.0	175544.0	175544.0	213190.7458016224	0.1112625	66.28	0.9181084948433139	0.678498535803852	0	5.918396747820818e-06	0.0005827342667398847	0.36457809805870056	0.6490789175954558
HEK293T_A46	0	185042.0	9687	2	0	0	100378.0	8231	185042.0	9687	100378.0	185042.0	185042.0	211941.35782687174	0.22608185	63.47	0.9596182218085872	0.519283021670675	0	1.9712979496877224e-07	0.0055298141392751705	0.9191848039627075	0.9296685974016632
HEK293T_A47	0	284184.0	10656	3	2	2	176195.0	9608	284184.0	10656	176195.0	284184.0	284184.0	213726.91696224984	0.0	80.38	0.9395215820956246	0.8063824753991963	0	0.33528965078027395	0.00021801971772713287	0.041879426687955856	0.11644557941515907
HEK293T_A48	0	158676.0	9402	2	0	0	81716.0	8019	158676.0	9402	81716.0	158676.0	158676.0	212734.58886031914	0.22288519	85.03	0.8858932429731372	0.5538431477574388	0	6.365230106883155e-06	0.007476079451899398	0.8434418439865112	0.9178817278813876
HEK293T_A49	0	197956.0	10123	2	0	0	88783.0	8393	197956.0	10123	88783.0	197956.0	197956.0	213088.45011012547	0.20133817	87.89	0.9046602315367815	0.5795240693751572	0	1.1453211563011774e-05	0.0251104810521418	0.8828476667404175	0.9434834648538011
HEK293T_A50	0	273760.0	10610	2	0	0	180572.0	9376	273760.0	10610	180572.0	273760.0	273760.0	212982.84046244886	0.25850737	64.75	0.952790234969342	0.4782439248679248	0	1.8836452084277567e-07	0.010444166809131484	0.9213960766792297	0.9056589793182578
HEK293T_A51	0	216444.0	9578	3	1	1	106357.0	8304	216444.0	9578	106357.0	216444.0	216444.0	212303.48895326277	0.0349136	78.27	0.9186888942048167	0.7299877715064499	0	0.013839920145289517	0.0005172579165561916	0.26978158950805664	0.5397809955987343
HEK293T_A52	0	210167.0	9874	2	0	0	120546.0	8683	210167.0	9874	120546.0	210167.0	210167.0	211948.43484467117	0.14435786	80.68	0.9156855661048244	0.6463384320675661	0	6.921864488117713e-08	0.0604789477377783	0.9623594880104065	0.972207762828454
HEK293T_A53	0	243897.0	10636	1	4	4	198007.0	9549	243897.0	10636	198007.0	243897.0	243897.0	212334.91167173025	0.38507077	52.74	0.6237218929732355	0.3898576829336822	0	8.305774259450984e-06	0.0058356333756235815	0.715198814868927	0.8634864379229727
HEK293T_A54	0	218394.0	10349	2	0	0	132976.0	9158	218394.0	10349	132976.0	218394.0	218394.0	212949.30400560456	0.24204344	61.92	0.769111034090395	0.5226212383682353	0	1.406341411399699e-05	0.008598758095211307	0.755547821521759	0.9050258805028838
HEK293T_A55	0	204121.0	10409	2	4	4	151522.0	9375	204121.0	10409	151522.0	204121.0	204121.0	212427.53800441895	0.23875678	84.78	0.9046401561999499	0.5285543088995137	0	5.441413626125775e-06	0.00968147791158863	0.8257503509521484	0.9263680133816422
HEK293T_A56	0	199339.0	9748	1	1	1	126881.0	8801	199339.0	9748	126881.0	199339.0	199339.0	213520.98787492665	0.25768214	63.89	0.8886649306298298	0.5085158174363762	0	3.120453098547898e-06	0.0005875016278020441	0.3689493238925934	0.6940066749284821
