	orig.ident	nCount_RNA	nFeature_RNA	cell_cycle	RNA_snn_res.0.4	seurat_clusters	nCount_unspliced	nFeature_unspliced	nCount_spliced	nFeature_spliced	initial_size_unspliced	initial_size_spliced	initial_size	n_counts	velocity_self_transition	velocity_length	velocity_confidence	velocity_confidence_transition	Endpoints	root_cells	end_points	velocity_pseudotime	latent_time
HEK293T_B31	0	197328.0	9575	3	1	1	89122.0	8278	197328.0	9575	89122.0	197328.0	197328.0	213420.61315677452	0.012663841	85.2	0.9444212041200175	0.7751098122511195	0	0.30493443666843506	6.240595449826889e-08	0.03580111637711525	0.15921550051243147
HEK293T_B32	0	244650.0	10054	3	3	3	160679.0	9063	244650.0	10054	160679.0	244650.0	244650.0	210692.4357939914	0.20329475	81.18	0.9706367170587102	0.5816443188446652	0	3.226489333043544e-08	0.13481609818751888	0.972365140914917	0.9647602724547218
HEK293T_B33	0	186921.0	9631	1	4	4	110491.0	8517	186921.0	9631	110491.0	186921.0	186921.0	214273.1437880174	0.34979758	51.34	0.8678977149670876	0.43493152549652153	0	2.0695165170352454e-06	0.0007547672783954843	0.4380917549133301	0.766354268375055
HEK293T_B34	0	226386.0	10204	1	4	4	163586.0	9210	226386.0	10204	163586.0	226386.0	226386.0	213604.68722005773	0.44477957	48.26	0.8663658488125393	0.34335764039743183	0	2.2100884336019275e-06	0.0008155564470176498	0.45808145403862	0.7662589870192748
HEK293T_B35	0	224568.0	10017	1	1	1	142181.0	8974	224568.0	10017	142181.0	224568.0	224568.0	213120.15278668373	0.05557269	70.39	0.9150836706257479	0.7354367367214275	0	5.32263363119742e-06	0.0004778392763032043	0.3415306806564331	0.6067250529217478
HEK293T_B36	0	278050.0	10786	3	2	2	186698.0	9546	278050.0	10786	186698.0	278050.0	278050.0	213415.7253911167	0.17515057	51.87	0.9679195178312445	0.5949460644900673	0	1.0	0.0	0.021093863993883133	0.0
HEK293T_B37	0	286271.0	10596	3	3	3	186600.0	9410	286271.0	10596	186600.0	286271.0	286271.0	211747.36467193672	0.45709097	77.19	0.9872590878228923	0.3154756941528127	0	1.916282965752665e-08	0.994692716512624	0.99666428565979	0.9890925344896312
HEK293T_B38	0	232483.0	10140	3	2	2	113239.0	8636	232483.0	10140	113239.0	232483.0	232483.0	212995.25913722726	0.12320739	56.27	0.9785032986323261	0.6504273446409249	0	0.9205364960857048	1.9437569202006313e-09	0.006832186132669449	0.013326434728422308
HEK293T_B39	0	142436.0	9220	1	4	4	103717.0	8347	142436.0	9220	103717.0	142436.0	142436.0	213655.94790642813	0.45435944	48.44	0.872537088170823	0.3290717346331524	0	2.4856063246882533e-06	0.0008493427181319724	0.4623190760612488	0.7755573736478178
HEK293T_B40	0	239990.0	10278	2	0	0	130687.0	9015	239990.0	10278	130687.0	239990.0	239990.0	212267.34392266345	0.16878885	81.58	0.9314806366047278	0.6204035453151895	0	6.300623616382919e-08	0.07212603378799182	0.9627618193626404	0.972763759348756
HEK293T_B41_M	0	215399.0	10412	3	2	2	151500.0	9292	215399.0	10412	151500.0	215399.0	215399.0	213720.1920343177	0.035721183	66.81	0.967150984695904	0.7402194543170483	0	0.7592798047756395	6.626780877888936e-09	0.009713695384562016	0.04790478317071172
HEK293T_B42_M	0	232760.0	10409	3	2	2	108640.0	8905	232760.0	10409	108640.0	232760.0	232760.0	213776.48908747206	0.02612406	73.6	0.9577527831635023	0.7522007585200233	0	0.7592798047756395	6.626780877888936e-09	0.008405554108321667	0.07497599730158103
HEK293T_B43_M	0	183874.0	10001	3	2	2	133830.0	9137	183874.0	10001	133830.0	183874.0	183874.0	213711.8306231441	0.00019389391	87.0	0.9277823354832733	0.7853739241081624	0	0.06212239454551809	0.0003470782709652833	0.11082868278026581	0.3340397369924053
HEK293T_B44_M	0	244189.0	9762	2	3	3	103963.0	8306	244189.0	9762	103963.0	244189.0	244189.0	211843.93345318586	0.16921848	81.53	0.9260042995986445	0.5800554992683474	0	7.27449572892847e-06	0.07676263684268125	0.9321760535240173	0.9446009814835096
HEK293T_B45_M	0	204629.0	9687	2	0	0	89795.0	8032	204629.0	9687	89795.0	204629.0	204629.0	210987.76908453836	0.30952895	83.57	0.9017519446354495	0.4510095732348792	0	2.6900088603306423e-06	0.0023462656964655733	0.8649725914001465	0.9214099311571767
HEK293T_B46_M	0	166277.0	9588	2	3	3	137007.0	8795	166277.0	9588	137007.0	166277.0	166277.0	210756.92736818682	0.120015025	78.18	0.8900936736862404	0.66608123513605	0	7.530282052209268e-08	0.031649718171347097	0.9664368629455566	0.9642296852931828
HEK293T_B47_M	0	202636.0	10095	1	4	4	153078.0	9025	202636.0	10095	153078.0	202636.0	202636.0	213568.8544582404	0.51652515	48.72	0.9003548553571029	0.22980018631914498	0	2.8315508663018317e-06	0.0009019482623162003	0.4329976737499237	0.7977855081024586
HEK293T_B48_M	0	163872.0	9572	2	0	0	104076.0	8410	163872.0	9572	104076.0	163872.0	163872.0	212248.20254833042	0.2599606	65.72	0.9549842395226944	0.481515058583173	0	1.9509615372195073e-07	0.008180048634621408	0.9298806190490723	0.8972238553739873
HEK293T_B49_M	0	208297.0	10011	2	0	0	106697.0	8436	208297.0	10011	106697.0	208297.0	208297.0	212121.11726525106	0.30126783	69.66	0.9338682758575422	0.4514783197191538	0	1.3842410987208926e-07	0.010555129671391307	0.946101725101471	0.9113375765044553
HEK293T_B50_M	0	205345.0	9833	3	3	3	115865.0	8815	205345.0	9833	115865.0	205345.0	205345.0	212042.57221748764	0.6949825	76.5	0.9814738373058882	-0.12672833531536426	0	9.339548991623299e-10	1.0	0.9805694222450256	0.976004917632718
HEK293T_B51_M	0	224375.0	10247	1	1	1	143658.0	8995	224375.0	10247	143658.0	224375.0	224375.0	213986.88736713096	0.201944	65.42	0.9160739872062637	0.5769944531469433	0	4.197499724190998e-06	0.0005942466044211751	0.37126922607421875	0.6743846281154344
HEK293T_B52_M	0	230921.0	10120	3	3	3	172454.0	9309	230921.0	10120	172454.0	230921.0	230921.0	211960.67667730522	0.6949825	76.5	0.9814738373058882	-0.12672833531536426	0	9.339548991623299e-10	1.0	0.9729257822036743	0.976004917632718
HEK293T_B53_M	0	208972.0	9551	1	1	1	126887.0	8584	208972.0	9551	126887.0	208972.0	208972.0	213204.86348410312	0.2793913	63.73	0.8499208328532908	0.4797671571388151	0	1.9970776159181127e-06	0.0004972108320330246	0.39960092306137085	0.7112346445212344
HEK293T_B54_M	0	264124.0	10510	2	0	0	108496.0	8899	264124.0	10510	108496.0	264124.0	264124.0	213375.52777483308	0.1658662	73.5	0.8117282909922189	0.6770970875391854	0	1.102288060862585e-05	0.05637494029960482	0.8402311205863953	0.966436115003326
HEK293T_B55_M	0	293406.0	10314	3	2	2	105178.0	8473	293406.0	10314	105178.0	293406.0	293406.0	213801.1672460686	0.17515057	51.87	0.9679195178312442	0.5949460657188023	0	1.0	0.0	0.01713196188211441	0.0
HEK293T_B56_M	0	161582.0	9800	1	4	4	96606.0	8405	161582.0	9800	96606.0	161582.0	161582.0	213261.17402309665	0.51989555	44.22	0.7831965191508541	0.22356782964154243	0	4.870728810919148e-06	0.0009624300069525947	0.5870621800422668	0.8075681305120581
HEK293T_B57_M	0	294190.0	10576	3	3	3	181968.0	9363	294190.0	10576	181968.0	294190.0	294190.0	211096.1484006934	0.32027957	79.66	0.9791002639839631	0.47817779704697533	0	4.203370333147712e-08	0.38238769153008256	0.9973074197769165	1.0
HEK293T_B58_M	0	135874.0	9072	1	4	4	57339.0	7220	135874.0	9072	57339.0	135874.0	135874.0	212236.7770287178	0.56460875	44.58	0.8342718050167568	0.14120357236928394	0	4.231217887288875e-06	0.0009359918266515301	0.5040663480758667	0.8019815293074641
HEK293T_B59_M	0	187798.0	9810	1	1	1	99038.0	8492	187798.0	9810	99038.0	187798.0	187798.0	213886.66426692507	0.47162905	51.18	0.7686677737032307	0.31111146204929047	0	6.826945993461679e-06	0.0009144186013882094	0.46751004457473755	0.7698234618030229
HEK293T_B60_M	0	173071.0	9878	3	0	0	111757.0	8626	173071.0	9878	111757.0	173071.0	173071.0	212950.88870463567	0.6949825	76.5	0.9814738373058882	-0.12689606537619133	0	9.339548991623299e-10	1.0	0.9805694222450256	0.976004917632718
HEK293T_B61_M	0	205530.0	9935	2	0	0	149978.0	8999	205530.0	9935	149978.0	205530.0	205530.0	210878.7988468837	0.32563126	63.95	0.9365817819877459	0.43523463278300445	0	2.141454776980849e-06	0.0023278422363522196	0.8822028040885925	0.9219701593654508
