	orig.ident	nCount_RNA	nFeature_RNA	cell_cycle	RNA_snn_res.0.4	seurat_clusters	nCount_unspliced	nFeature_unspliced	nCount_spliced	nFeature_spliced	initial_size_spliced	initial_size_unspliced	initial_size	n_counts	velocity_self_transition	velocity_length	velocity_confidence	velocity_confidence_transition	Endpoints	root_cells	end_points	velocity_pseudotime	latent_time
HEK293T_B31	0	197328.0	9575	3	1	1	89122.0	8278	197328.0	9575	197328.0	89122.0	197328.0	213420.61315677452	0.012496114	85.2	0.9444142894085624	0.7751037642757209	0	0.3046583759336807	6.159320472753813e-08	0.0359003059566021	0.1618893074155769
HEK293T_B32	0	244650.0	10054	3	3	3	160679.0	9063	244650.0	10054	244650.0	160679.0	244650.0	210692.4357939914	0.20319766	81.2	0.9706701554491234	0.5815581790123937	0	0.0	0.13491930366477292	0.9746202826499939	0.9623909036503724
HEK293T_B33	0	186921.0	9631	1	4	4	110491.0	8517	186921.0	9631	186921.0	110491.0	186921.0	214273.1437880174	0.34980068	51.36	0.8679291774886607	0.4348764040205752	0	1.9851747529367854e-06	0.0007589918549246226	0.43958690762519836	0.763001003355737
HEK293T_B34	0	226386.0	10204	1	4	4	163586.0	9210	226386.0	10204	226386.0	163586.0	226386.0	213604.68722005773	0.44431245	48.27	0.8664694487337465	0.3436776743607433	0	2.121004670222553e-06	0.0008198536722675405	0.4597148299217224	0.7632023536397867
HEK293T_B35	0	224568.0	10017	1	1	1	142181.0	8974	224568.0	10017	224568.0	142181.0	224568.0	213120.15278668373	0.055329323	70.39	0.9151082851057374	0.7354875636344147	0	5.14124331680082e-06	0.000480914439133269	0.34269702434539795	0.6056662526451021
HEK293T_B36	0	278050.0	10786	3	2	2	186698.0	9546	278050.0	10786	278050.0	186698.0	278050.0	213415.7253911167	0.17491019	51.87	0.9679321395290446	0.5949631067582559	0	1.0	1.2186879585282131e-11	0.02116399072110653	0.0
HEK293T_B37	0	286271.0	10596	3	3	3	186600.0	9410	286271.0	10596	286271.0	186600.0	286271.0	211747.36467193672	0.45682028	77.21	0.9872432538922308	0.3155568732902817	1	4.994101436051322e-09	0.9946629885741144	1.0	0.991785693777701
HEK293T_B38	0	232483.0	10140	3	2	2	113239.0	8636	232483.0	10140	232483.0	113239.0	232483.0	212995.25913722726	0.12298244	56.27	0.9785078744461356	0.650457333497994	0	0.9205016485503822	8.93721238782248e-11	0.0068242778070271015	0.013479105251234429
HEK293T_B39	0	142436.0	9220	1	4	4	103717.0	8347	142436.0	9220	142436.0	103717.0	142436.0	213655.94790642813	0.45485157	48.46	0.8726358966735867	0.32860915925051304	0	2.381675234119644e-06	0.0008538119336187563	0.46394696831703186	0.772990522054291
HEK293T_B40	0	239990.0	10278	2	0	0	130687.0	9015	239990.0	10278	239990.0	130687.0	239990.0	212267.34392266345	0.16872883	81.59	0.9314750923788001	0.6202572276633374	0	4.058950468192533e-08	0.07219179723421797	0.964484453201294	0.9584225056207683
HEK293T_B41_M	0	215399.0	10412	3	2	2	151500.0	9292	215399.0	10412	215399.0	151500.0	215399.0	213720.1920343177	0.035628915	66.81	0.9671581692339082	0.7401727250655727	0	0.7591638324189552	2.0068439049021412e-09	0.009691162966191769	0.04823145140390008
HEK293T_B42_M	0	232760.0	10409	3	2	2	108640.0	8905	232760.0	10409	232760.0	108640.0	232760.0	213776.48908747206	0.0259974	73.6	0.9577565876066277	0.7521783545143803	0	0.7591638324189552	2.0068439049021412e-09	0.008375802077353	0.07566036957466377
HEK293T_B43_M	0	183874.0	10001	3	2	2	133830.0	9137	183874.0	10001	183874.0	133830.0	183874.0	213711.8306231441	0.0001937747	87.0	0.9277977526228025	0.7852339239738019	0	0.0619490347308018	0.00034938381085750553	0.1111743226647377	0.33856500192125855
HEK293T_B44_M	0	244189.0	9762	2	3	3	103963.0	8306	244189.0	9762	244189.0	103963.0	244189.0	211843.93345318586	0.16922301	81.54	0.9259402880067547	0.5799240463202593	0	7.256404875513782e-06	0.07684125717634381	0.9341709613800049	0.9216252833165843
HEK293T_B45_M	0	204629.0	9687	2	0	0	89795.0	8032	204629.0	9687	204629.0	89795.0	204629.0	210987.76908453836	0.30921206	83.58	0.9017850700951825	0.4511462407744312	0	2.5613726469399853e-06	0.0023510154553918455	0.866797685623169	0.8838891914005318
HEK293T_B46_M	0	166277.0	9588	2	3	3	137007.0	8795	166277.0	9588	166277.0	137007.0	166277.0	210756.92736818682	0.11949122	78.18	0.8898811421929371	0.6665127681366512	0	3.624281861101733e-08	0.03167466153199866	0.9676724672317505	0.9364020327793836
HEK293T_B47_M	0	202636.0	10095	1	4	4	153078.0	9025	202636.0	10095	202636.0	153078.0	202636.0	213568.8544582404	0.5164474	48.73	0.9005174270517302	0.229871323357235	0	2.713316712650369e-06	0.0009066801299677772	0.43452176451683044	0.7941886201079009
HEK293T_B48_M	0	163872.0	9572	2	0	0	104076.0	8410	163872.0	9572	163872.0	104076.0	163872.0	212248.20254833042	0.25996476	65.74	0.9549416005102277	0.48130073096064774	0	1.217256103896564e-07	0.008186275150032401	0.9316275119781494	0.851688748429361
HEK293T_B49_M	0	208297.0	10011	2	0	0	106697.0	8436	208297.0	10011	208297.0	106697.0	208297.0	212121.11726525106	0.30127448	69.68	0.9338390235558439	0.45129988675508315	0	7.194786721874713e-08	0.010563824940520924	0.947762668132782	0.8664805509290198
HEK293T_B50_M	0	205345.0	9833	3	3	3	115865.0	8815	205345.0	9833	205345.0	115865.0	205345.0	212042.57221748764	0.6951292	76.52	0.9814662382038774	-0.12828590224427897	0	4.4078279179563675e-09	1.0	0.9828978180885315	0.9784846319469785
HEK293T_B51_M	0	224375.0	10247	1	1	1	143658.0	8995	224375.0	10247	224375.0	143658.0	224375.0	213986.88736713096	0.20175892	65.42	0.9160909071852203	0.5770031879964362	0	4.065309867708234e-06	0.0005980712499050311	0.37254607677459717	0.6692038437138735
HEK293T_B52_M	0	230921.0	10120	3	3	3	172454.0	9309	230921.0	10120	230921.0	172454.0	230921.0	211960.67667730522	0.6951292	76.52	0.9814662382038774	-0.12828590224427897	0	4.4078279179563675e-09	1.0	0.9755876660346985	0.9784846319469785
HEK293T_B53_M	0	208972.0	9551	1	1	1	126887.0	8584	208972.0	9551	208972.0	126887.0	208972.0	213204.86348410312	0.27928448	63.73	0.849900361435407	0.4797083300538575	0	1.9418826779562203e-06	0.000500430375146058	0.40101197361946106	0.7043792297799265
HEK293T_B54_M	0	264124.0	10510	2	0	0	108496.0	8899	264124.0	10510	264124.0	108496.0	264124.0	213375.52777483308	0.16598403	73.5	0.8116059397978449	0.6770644950712034	0	1.0890714947112591e-05	0.05644479743611572	0.8424714803695679	0.9449746456142237
HEK293T_B55_M	0	293406.0	10314	3	2	2	105178.0	8473	293406.0	10314	293406.0	105178.0	293406.0	213801.1672460686	0.17491019	51.87	0.9679321395290446	0.5949630969238547	0	1.0	1.2186879585282131e-11	0.017188938334584236	0.0
HEK293T_B56_M	0	161582.0	9800	1	4	4	96606.0	8405	161582.0	9800	161582.0	96606.0	161582.0	213261.17402309665	0.51747525	44.23	0.7833028509940805	0.22555738269619344	0	4.645987597213225e-06	0.0009677265942402957	0.589739978313446	0.8026493837156632
HEK293T_B57_M	0	294190.0	10576	3	3	3	181968.0	9363	294190.0	10576	294190.0	181968.0	294190.0	211096.1484006934	0.32004875	79.67	0.9791035519210943	0.4781915951772756	0	2.2569455802368673e-08	0.38239879128098747	0.9975692629814148	1.0
HEK293T_B58_M	0	135874.0	9072	1	4	4	57339.0	7220	135874.0	9072	135874.0	57339.0	135874.0	212236.7770287178	0.5632065	44.6	0.8343715563402079	0.14243073234381057	0	4.026434794663704e-06	0.0009411649910581759	0.5062758922576904	0.7988450584016469
HEK293T_B59_M	0	187798.0	9810	1	1	1	99038.0	8492	187798.0	9810	187798.0	99038.0	187798.0	213886.66426692507	0.4717533	51.2	0.7688524447517905	0.31204938693876483	0	6.514008642424084e-06	0.0009191691602256863	0.46948471665382385	0.7664695741497063
HEK293T_B60_M	0	173071.0	9878	3	0	0	111757.0	8626	173071.0	9878	173071.0	111757.0	173071.0	212950.88870463567	0.6951292	76.52	0.9814662382038774	-0.12849995475655632	0	4.4078279179563675e-09	1.0	0.982897937297821	0.9784846319469785
HEK293T_B61_M	0	205530.0	9935	2	0	0	149978.0	8999	205530.0	9935	205530.0	149978.0	205530.0	210878.7988468837	0.3252292	63.97	0.9366115007421579	0.43549773770443834	0	2.016061580661823e-06	0.002332487979553661	0.8840987086296082	0.8825293927317488
