	orig.ident	nCount_RNA	nFeature_RNA	cell_cycle	RNA_snn_res.0.4	seurat_clusters	nCount_unspliced	nFeature_unspliced	nCount_spliced	nFeature_spliced	initial_size_spliced	initial_size_unspliced	initial_size	n_counts	velocity_self_transition	velocity_length	velocity_confidence	velocity_confidence_transition	Endpoints	root_cells	end_points	velocity_pseudotime	latent_time
HEK293T_A40	0	185962.0	9802	1	4	4	98441.0	8224	185962.0	9802	185962.0	98441.0	185962.0	212507.54381002573	0.5265627	44.1	0.8089636869045917	0.19965230069769924	0	4.183473595265037e-06	0.0009383129030030528	0.5450843572616577	0.8001655100272675
HEK293T_A41	0	137135.0	9212	1	1	1	110268.0	8512	137135.0	9212	137135.0	110268.0	137135.0	213767.01261530607	0.09418833	69.7	0.9204316064763587	0.6975289830620846	0	5.14124331680082e-06	0.000480914439133269	0.3494738042354584	0.6182525332639034
HEK293T_A42	0	299162.0	10602	3	2	2	244540.0	9733	299162.0	10602	299162.0	244540.0	299162.0	213483.07186073097	0.014695466	87.37	0.9415239722662769	0.7767279880601583	0	0.166099779108047	0.0002194519062460129	0.05796384811401367	0.19081746336566363
HEK293T_A43	0	233678.0	10366	3	2	2	151768.0	9339	233678.0	10366	233678.0	151768.0	233678.0	214253.81563091092	0.0	78.57	0.9453477446286062	0.7930013078307239	0	0.5076248738663729	5.185206856548607e-08	0.024489974603056908	0.10409204588604412
HEK293T_A44	0	167941.0	9555	2	0	0	148833.0	8919	167941.0	9555	167941.0	148833.0	167941.0	212405.16688598972	0.39104775	55.78	0.63199977537026	0.4088260167283664	0	8.382182335513623e-06	0.005805018429980969	0.6925853490829468	0.8636212442602095
HEK293T_A45	0	175544.0	9443	1	1	1	76048.0	7943	175544.0	9443	175544.0	76048.0	175544.0	213190.7458016224	0.11106336	66.28	0.9181332540602988	0.678501831883118	0	5.6905992835351396e-06	0.0005864679760445621	0.3657715320587158	0.6463806925896077
HEK293T_A46	0	185042.0	9687	2	0	0	100378.0	8231	185042.0	9687	185042.0	100378.0	185042.0	211941.35782687174	0.22581613	63.49	0.9595532239535388	0.5193345479846674	0	1.1540049525594969e-07	0.005532522875520373	0.9209976196289062	0.8833653427649452
HEK293T_A47	0	284184.0	10656	3	2	2	176195.0	9608	284184.0	10656	284184.0	176195.0	284184.0	213726.91696224984	0.0	80.38	0.9395239550315747	0.8063617014750305	0	0.33503984261442105	0.00021945166763677002	0.041990168392658234	0.1180435196176018
HEK293T_A48	0	158676.0	9402	2	0	0	81716.0	8019	158676.0	9402	158676.0	81716.0	158676.0	212734.58886031914	0.22281843	85.04	0.8859431438030219	0.5537614742651977	0	6.165126725893424e-06	0.007492482575030257	0.8453021049499512	0.8847969795996686
HEK293T_A49	0	197956.0	10123	2	0	0	88783.0	8393	197956.0	10123	197956.0	88783.0	197956.0	213088.45011012547	0.20128715	87.91	0.9046311897775844	0.5794191146506942	0	1.1324610102626762e-05	0.0251503746192112	0.8850545287132263	0.9125079992128443
HEK293T_A50	0	273760.0	10610	2	0	0	180572.0	9376	273760.0	10610	273760.0	180572.0	273760.0	212982.84046244886	0.25834638	64.77	0.9527844264459894	0.47814519518765025	0	1.279309531466572e-07	0.010453294425099303	0.9232080578804016	0.8620505725889464
HEK293T_A51	0	216444.0	9578	3	1	1	106357.0	8304	216444.0	9578	216444.0	106357.0	216444.0	212303.48895326277	0.034933925	78.27	0.9187579666427395	0.729756641304487	0	0.013800287054650504	0.0005206745141850595	0.27068087458610535	0.5404873716422469
HEK293T_A52	0	210167.0	9874	2	0	0	120546.0	8683	210167.0	9874	210167.0	120546.0	210167.0	211948.43484467117	0.14427328	80.69	0.9155813986572598	0.6462507217197142	0	4.063549212789714e-08	0.06052800186221039	0.9639211297035217	0.9519443796713856
HEK293T_A53	0	243897.0	10636	1	4	4	198007.0	9549	243897.0	10636	243897.0	198007.0	243897.0	212334.91167173025	0.3850893	52.77	0.6234184991499502	0.38955065085932566	0	8.03663610141847e-06	0.0058510622652312005	0.7169167399406433	0.8475205075364668
HEK293T_A54	0	218394.0	10349	2	0	0	132976.0	9158	218394.0	10349	218394.0	132976.0	218394.0	212949.30400560456	0.24213892	61.95	0.7689995368190509	0.5223077746270627	0	1.3795982914028688e-05	0.008619179296362725	0.7573562860488892	0.8790896111359188
HEK293T_A55	0	204121.0	10409	2	4	4	151522.0	9375	204121.0	10409	204121.0	151522.0	204121.0	212427.53800441895	0.23874307	84.8	0.9046765480968981	0.5284478337349146	0	5.31312863762883e-06	0.009700424433730048	0.8277381062507629	0.8913458437086227
HEK293T_A56	0	199339.0	9748	1	1	1	126881.0	8801	199339.0	9748	199339.0	126881.0	199339.0	213520.98787492665	0.25755113	63.89	0.8886770729404084	0.5084928952953247	0	3.0462468467702363e-06	0.0005913103825590384	0.37021294236183167	0.6873832683157355
